src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes
192.168.1.20,10.0.0.5,40000,80,TCP,1,40
192.168.1.20,10.0.0.5,40001,80,TCP,1,40
192.168.1.20,10.0.0.5,40002,80,TCP,1,40
192.168.1.20,10.0.0.5,40003,80,TCP,1,40
192.168.1.20,10.0.0.5,40004,80,TCP,1,40
192.168.1.10,10.0.0.5,50000,20,TCP,1,40
192.168.1.10,10.0.0.5,50000,21,TCP,1,40
192.168.1.10,10.0.0.5,50000,22,TCP,1,40
192.168.1.10,10.0.0.5,50000,23,TCP,1,40
192.168.1.10,10.0.0.5,50000,24,TCP,1,40
192.168.1.10,10.0.0.5,50000,25,TCP,1,40
192.168.1.10,10.0.0.5,50000,26,TCP,1,40
192.168.1.10,10.0.0.5,50000,27,TCP,1,40
192.168.1.10,10.0.0.5,50000,28,TCP,1,40
192.168.1.10,10.0.0.5,50000,29,TCP,1,40
192.168.1.10,10.0.0.5,50000,30,TCP,1,40
192.168.1.10,10.0.0.5,50000,31,TCP,1,40
192.168.1.10,10.0.0.5,50000,32,TCP,1,40
192.168.1.10,10.0.0.5,50000,33,TCP,1,40
192.168.1.10,10.0.0.5,50000,34,TCP,1,40
192.168.1.11,10.0.0.8,60000,9999,UDP,120,3360
192.168.1.12,8.8.8.8,45000,53,UDP,1,28
192.168.1.12,8.8.8.8,45001,53,UDP,1,28
192.168.1.12,8.8.8.8,45002,53,UDP,1,28
192.168.1.12,8.8.8.8,45003,53,UDP,1,28
192.168.1.12,8.8.8.8,45004,53,UDP,1,28
192.168.1.12,8.8.8.8,45005,53,UDP,1,28
192.168.1.12,8.8.8.8,45006,53,UDP,1,28
192.168.1.12,8.8.8.8,45007,53,UDP,1,28
192.168.1.12,8.8.8.8,45008,53,UDP,1,28
192.168.1.12,8.8.8.8,45009,53,UDP,1,28
192.168.1.12,8.8.8.8,45010,53,UDP,1,28
192.168.1.12,8.8.8.8,45011,53,UDP,1,28
192.168.1.12,8.8.8.8,45012,53,UDP,1,28
192.168.1.12,8.8.8.8,45013,53,UDP,1,28
192.168.1.12,8.8.8.8,45014,53,UDP,1,28
192.168.1.12,8.8.8.8,45015,53,UDP,1,28
192.168.1.12,8.8.8.8,45016,53,UDP,1,28
192.168.1.12,8.8.8.8,45017,53,UDP,1,28
192.168.1.12,8.8.8.8,45018,53,UDP,1,28
192.168.1.12,8.8.8.8,45019,53,UDP,1,28
192.168.1.12,8.8.8.8,45020,53,UDP,1,28
192.168.1.12,8.8.8.8,45021,53,UDP,1,28
192.168.1.12,8.8.8.8,45022,53,UDP,1,28
192.168.1.12,8.8.8.8,45023,53,UDP,1,28
192.168.1.12,8.8.8.8,45024,53,UDP,1,28
